stateAbbr,State,White,AfricanAmerican,AmericanIndian,Asian,HaveHealthCare,HaveDepression,HaveAsthma,HaveArthritis
AL,Alabama,68.5,26.6,0.5,1.2,86.1,21.3,14.6,34
AK,Alaska,,,,,85,15.6,12.4,21.9
AZ,Arizona,78.3,4.2,4.4,3.2,85.6,18.7,14.3,24.9
AR,Arkansas,78.3,15.8,0.6,1.2,83.7,21.5,13.3,30.4
CA,California,61.4,5.8,0.7,13.9,85.2,13.3,12.7,20.4
CO,Colorado,84.4,4,1,2.9,87.2,17,12.2,22.8
CT,Connecticut,76.8,10.3,0.2,4.2,91.3,18.3,14.1,24
DE,Delaware,69.2,21.7,0.4,3.9,91.4,18.3,14.4,26.6
DC,District of Columbia,40.2,48.8,0.3,3.8,91.7,18.1,17.2,19.2
FL,Florida,76,16.2,0.3,2.6,82.4,16.2,12.2,27
GA,Georgia,59.9,31.3,0.3,3.7,79.1,18.3,13.8,25.2
HI,Hawaii,25.4,2.2,0.2,37.6,91.9,10.7,16.2,20.7
ID,Idaho,91.7,0.7,1.3,1.5,83.5,19.5,12.3,24.8
IL,Illinois,72.1,14.3,0.2,5.2,88.1,16.7,14,25.1
IN,Indiana,84.1,9.3,0.2,2,85.3,20.7,14.6,29.2
IA,Iowa,91.3,3.1,0.3,2.2,92.3,18.7,13.2,26
KS,Kansas,84.9,5.9,0.8,2.6,85.5,18.6,13.6,25.4
KY,Kentucky,87.4,7.9,0.2,1.2,90,23.9,16.9,33.9
LA,Louisiana,62.8,32.3,0.6,1.7,81.3,18.7,12.5,27.1
ME,Maine,,,,,89,23.7,16.4,31.4
MD,Maryland,57.4,29.7,0.2,6.2,90.8,15.9,13.5,25.6
MA,Massachusetts,79.3,7.1,0.2,6.1,95.4,21.7,17.6,27.3
MI,Michigan,78.9,13.9,0.6,2.8,89.7,20.5,15.4,31.9
MN,Minnesota,84.4,5.7,1,4.6,92.7,18.2,11.8,21.8
MS,Mississippi,58.8,37.8,0.4,0.8,81.2,19.9,12.6,29.2
MO,Missouri,82.3,11.7,0.4,1.8,87.1,21.7,14.5,28
MT,Montana,,,,,87.1,20.4,13.4,26
NE,Nebraska,88.3,4.7,1,2.1,87.7,17.7,12.2,24.6
NV,Nevada,68,8.6,1.1,7.8,82.9,15.6,12.3,23.1
NH,New Hampshire,93.4,1.3,0.2,2.6,88.6,21,14.1,27.2
NJ,New Jersey,67.7,13.6,0.2,9.3,87.6,13.4,12.4,22.7
NM,New Mexico,73.1,2,9.5,1.5,84.6,21.1,14.4,25.8
NY,New York,64,15.7,0.4,8.2,87.7,15.9,15,24.2
NC,North Carolina,69.1,21.7,1.1,2.5,83.9,19,11.5,27.7
ND,North Dakota,,,,,91.2,17.3,12.2,25
OH,Ohio,82.1,12.2,0.2,1.9,89.8,20.9,15,30.8
OK,Oklahoma,72.9,7.4,7.5,2,86.1,21.8,14.3,27.5
OR,Oregon,84.6,1.8,1.2,4,89,24,16.6,26.1
PA,Pennsylvania,81.4,11.1,0.2,3.1,89.9,19.7,14.3,30.3
RI,Rhode Island,81.3,6.7,0.5,3.4,92,20.6,15.2,27.4
SC,South Carolina,67.3,27.3,0.3,1.4,82.9,19.9,13.1,30
SD,South Dakota,,,,,90.1,16.6,11.2,26
TN,Tennessee,77.6,16.9,0.3,1.6,85.8,21.4,14.4,32.6
TX,Texas,75.2,12,0.5,4.3,75.1,14.6,11.1,19.5
UT,Utah,87.3,1.1,1.1,2.2,86.1,20.7,13.4,20.1
VT,Vermont,,,,,93.3,21.8,16.5,28
VA,Virginia,68.9,19.2,0.3,6.1,87,17.4,12.7,26.2
WA,Washington,77.7,3.6,1.4,7.8,89.3,21.6,14.8,25.7
WV,West Virginia,,,,,89.9,23.6,14.5,40
WI,Wisconsin,86.3,6.3,0.9,2.6,91.5,17,12.7,25.7
WY,Wyoming,,,,,84.9,19,12,25.6